ID,Material_transformation_id,Chemical,Percent,Role,crystal_structure
1,1,TiO2,,Catalyst,Anatase
2,2,TiO2,,Catalyst,Anatase
3,2,Ag,1,Co-catalyst,Anatase
4,3,TiO2,,Catalyst,Anatase
5,3,Ag,3,Co-catalyst,Anatase
6,4,TiO2,,Catalyst,Anatase
7,4,Ag,5,Co-catalyst,Anatase
8,5,TiO2,,Catalyst,Anatase
9,5,Ag,7,Co-catalyst,Anatase
10,6,TiO2,,Catalyst,
11,6,H2O,,Reductant,
12,7,TiO2,,Catalyst,
13,7,H2O,,Reductant,
14,8,TiO2,,Catalyst,Anatase
15,8,Cu,1.2,Co-catalyst,Anatase
16,8,H2O,,Reductant,Anatase
17,9,TiO2,,Catalyst,Anatase
18,9,H2O,,Reductant,Anatase
19,10,TiO2,,Catalyst,Anatase
20,10,Cu,0.52,Co-catalyst,Anatase
21,10,H2O,,Reductant,Anatase
22,11,TiO2,,Catalyst,Anatase
23,11,Cu,1.2,Co-catalyst,Anatase
24,11,H2O,,Reductant,Anatase
25,12,TiO2,,Catalyst,Anatase
26,12,Cu,2.06,Co-catalyst,Anatase
27,12,H2O,,Reductant,Anatase
28,13,ZrO2,,Catalyst,
29,13,CH4,,Reductant,
30,14,ZrO2,,Catalyst,
31,14,CH4,,Reductant,
32,15,ZrO2,,Catalyst,
33,15,HCOOH,,Reductant,
34,16,ZrO2,,Catalyst,
35,16,H2,,Reductant,
36,17,ZrO2,,Catalyst,
37,17,H2,,Reductant,
38,18,ZrO2,,Catalyst,
39,18,H2,,Reductant,
40,19,ZrO2,,Catalyst,
41,19,H2,,Reductant,
42,20,TiO2,,Catalyst,Anatase
43,21,TiO2,,Catalyst,P25
44,21,Pt,0.12,Co-catalyst,P25
45,21,H2O,,Reductant,P25
46,22,TiO2,,Catalyst,P25
47,22,Pt,0.15,Co-catalyst,P25
48,22,H2O,,Reductant,P25
49,23,TiO2,,Catalyst,Anatase
50,23,CuO,1,Co-catalyst,Anatase
51,24,TiO2,,Catalyst,Anatase
52,24,CuO,1,Co-catalyst,Anatase
53,25,TiO2,,Catalyst,P25
54,25,H2,,Reductant,P25
55,26,TiO2,,Catalyst,P25
56,26,H2,,Reductant,P25
57,27,TiO2,,Catalyst,P25
58,27,H2+H2O,,Reductant,P25
59,28,ZrO2,,Catalyst,
60,28,H2O,,Reductant,
61,29,ZrO2,,Catalyst,
62,29,H2+H2O,,Reductant,
63,30,ZrO2,,Catalyst,
64,30,H2,,Reductant,
65,31,TiO2,,Catalyst,Anatase
66,31,H2O,,Reductant,Anatase
67,32,TiO2,,Catalyst,Anatase
68,32,Ag,1,Co-catalyst,Anatase
69,32,H2O,,Reductant,Anatase
70,33,TiO2,,Catalyst,Anatase
71,33,Cu,1.2,Co-catalyst,Anatase
72,33,H2O,,Reductant,Anatase
73,34,TiO2,,Catalyst,P25
74,34,Cu,0.5,Co-catalyst,P25
75,34,Fe,0.5,Co-catalyst,P25
76,34,H2O,,Reductant,P25
77,35,TiO2,,Catalyst,P25
78,35,Cu,0.5,Co-catalyst,P25
79,35,Fe,0.5,Co-catalyst,P25
80,35,H2O,,Reductant,P25
81,36,TiO2,,Catalyst,Anatase
82,36,SiO2,,Support,Anatase
83,36,H2O,,Reductant,Anatase
84,37,TiO2,,Catalyst,Anatase
85,37,SiO2,,Support,Anatase
86,37,H2O,,Reductant,Anatase
87,38,TiO2,,Catalyst,Anatase
88,38,SiO2,,Support,Anatase
89,38,Cu,0.5,Co-catalyst,Anatase
90,38,Fe,0.5,Co-catalyst,Anatase
91,38,H2O,,Reductant,Anatase
92,39,TiO2,,Catalyst,Anatase
93,39,SiO2,,Support,Anatase
94,39,Cu,0.5,Co-catalyst,Anatase
95,39,Fe,0.5,Co-catalyst,Anatase
96,39,H2O,,Reductant,Anatase
97,40,TiO2,,Catalyst,P25
98,40,Cu,0.5,Co-catalyst,P25
99,40,Fe,0.5,Co-catalyst,P25
100,40,N3,,Dye,P25
101,40,H2O,,Reductant,P25
102,41,TiO2,,Catalyst,P25
103,41,Cu,0.5,Co-catalyst,P25
104,41,Fe,0.5,Co-catalyst,P25
105,41,N3,,Dye,P25
106,41,H2O,,Reductant,P25
107,42,TiO2,,Catalyst,Anatase
108,43,TiO2,,Catalyst,
109,43,CODH-Enzime,,Dye,
110,45,TiO2,,Catalyst,Rutile
111,45,H2O,,Reductant,Rutile
112,46,TiO2,,Catalyst,Anatase
113,46,H2O,,Reductant,Anatase
114,47,TiO2,,Catalyst,
115,47,Activated Carbon,,Support,
116,47,H2O,,Reductant,
117,48,TiO2,,Catalyst,
118,48,H2O,,Reductant,
119,49,TiO2,,Catalyst,Anatase
120,49,Activated Carbon,,Support,Anatase
121,49,H2O,,Reductant,Anatase
122,50,TiO2,,Catalyst,Anatase
123,50,Activated Carbon,,Support,Anatase
124,50,H2O,,Reductant,Anatase
125,51,TiO2,,Catalyst,Anatase
126,51,Carbon Nanotube,,Support,Anatase
127,51,H2O,,Reductant,Anatase
128,52,TiO2,,Catalyst,Anatase
129,52,Carbon Nanotube,,Support,Anatase
130,52,H2O,,Reductant,Anatase
131,53,TiO2,,Catalyst,P25
132,53,Carbon Nanotube,,Support,P25
133,53,H2O,,Reductant,P25
134,54,TiO2,,Catalyst,Anatase
135,54,Cu,1,Co-catalyst,Anatase
136,55,Carbon,,Catalyst,
137,55,Au,,Co-catalyst,
138,55,Pt,,Co-catalyst,
139,55,H2O. Saturated with CO2,,Reductant,
140,56,TiO2,,Catalyst,P25
141,57,TiO2,,Catalyst,Anatase
142,57,Kaolinite,,Support,Anatase
143,58,TiO2,,Catalyst,Anatase
144,58,H2O,,Reductant,Anatase
145,59,TiO2,,Catalyst,Anatase
146,59,Ag,1,Co-catalyst,Anatase
147,59,H2O,,Reductant,Anatase
148,60,TiO2,,Catalyst,Anatase
149,60,Cu,1.2,Co-catalyst,Anatase
150,60,H2O,,Reductant,Anatase
151,61,TiO2,,Catalyst,P25
152,61,H2O,,Reductant,P25
153,62,TiO2,,Catalyst,P25
154,62,H2O,,Reductant,P25
155,63,TiO2,,Catalyst,Anatase
156,64,TiO2,,Catalyst,Anatase
157,65,TiO2,,Catalyst,Anatase
158,66,TiO2,,Catalyst,Anatase
159,66,Ag,7,Co-catalyst,Anatase
160,67,TiO2,,Catalyst,Anatase
161,67,Ag,7,Co-catalyst,Anatase
162,68,TiO2,,Catalyst,Anatase
163,68,Ag,7,Co-catalyst,Anatase
164,70,TiO2,,Catalyst,Anatase
165,70,saturated,,Reductant,Anatase
166,71,TiO2,,Catalyst,Anatase
167,71,CoPc,0.7,Dye,Anatase
168,71,saturated,,Reductant,Anatase
169,72,TiO2,,Catalyst,Anatase
170,72,CoPc,1.0,Dye,Anatase
171,72,saturated,,Reductant,Anatase
172,75,TiO2,,Catalyst,P25
173,75,CdSe,,Co-catalyst,P25
174,75,Fe,,Co-catalyst,P25
175,75,H2O,,Reductant,P25
176,76,TiO2,,Catalyst,P25
