DOI,file
10.1016/j.materresbull.2019.110758,../resources/articles_rdf/10.1016%2Fj.materresbull.2019.110758.ttl
10.1021/acsaem.9b01927,../resources/articles_rdf/10.1021%2Facsaem.9b01927.ttl
10.1039/D0NJ02270E,../resources/articles_rdf/10.1039%2FD0NJ02270E.ttl
10.1007/s10971-016-3994-3,../resources/articles_rdf/10.1007%2Fs10971-016-3994-3.ttl
10.1016/j.catcom.2013.03.002,../resources/articles_rdf/10.1016%2Fj.catcom.2013.03.002.ttl
10.1039/C1CC16185G,../resources/articles_rdf/10.1039%2FC1CC16185G.ttl
10.1016/j.jcis.2020.02.108,../resources/articles_rdf/10.1016%2Fj.jcis.2020.02.108.ttl
10.1016/j.apcata.2015.11.001,../resources/articles_rdf/10.1016%2Fj.apcata.2015.11.001.ttl
10.1016/j.apcatb.2016.04.052,../resources/articles_rdf/10.1016%2Fj.apcatb.2016.04.052.ttl
10.1016/j.cej.2020.127011,../resources/articles_rdf/10.1016%2Fj.cej.2020.127011.ttl
10.1039/D0DT03229H,../resources/articles_rdf/10.1039%2FD0DT03229H.ttl
10.1016/j.jcat.2013.10.016,../resources/articles_rdf/10.1016%2Fj.jcat.2013.10.016.ttl
10.1016/j.cej.2020.126776,../resources/articles_rdf/10.1016%2Fj.cej.2020.126776.ttl
10.1021/acssuschemeng.8b01073,../resources/articles_rdf/10.1021%2Facssuschemeng.8b01073.ttl
10.1016/j.apt.2020.04.014,../resources/articles_rdf/10.1016%2Fj.apt.2020.04.014.ttl
10.1039/C3CY20822B,../resources/articles_rdf/10.1039%2FC3CY20822B.ttl
10.1039/C5CY01280E,../resources/articles_rdf/10.1039%2FC5CY01280E.ttl
10.1016/j.supflu.2016.12.010,../resources/articles_rdf/10.1016%2Fj.supflu.2016.12.010.ttl
10.1016/j.apcatb.2013.10.029,../resources/articles_rdf/10.1016%2Fj.apcatb.2013.10.029.ttl
10.1016/S1872-2067(19)63494-7,../resources/articles_rdf/10.1016%2FS1872-2067%2819%2963494-7.ttl
10.1007/s11237-014-9348-8,../resources/articles_rdf/10.1007%2Fs11237-014-9348-8.ttl
10.1039/C1JM12367J,../resources/articles_rdf/10.1039%2FC1JM12367J.ttl
10.1016/j.jcis.2015.01.017,../resources/articles_rdf/10.1016%2Fj.jcis.2015.01.017.ttl
10.1021/cs300273q,../resources/articles_rdf/10.1021%2Fcs300273q.ttl
10.1002/cssc.201600088,../resources/articles_rdf/10.1002%2Fcssc.201600088.ttl
