ID,Material_transformation_id,Type,Quantity,Condition,Unit
1,1,Slurry,0.10,Reactor condition,L
2,1,Powder(Suspended),0.1,Catalyst set up condition,GM
3,1,Mercury(Hg),8.00,Lamp power condition,W
4,1,Mercury(Hg),8.00,Lamp irradiance condition,W-PER-M2
5,1,,,Temperature condition,DEG_C
6,1,,,Preasure condition,BAR
7,1,,,Space velocity condition,PER-HR
8,1,,24.00,Reaction time condition,HR
9,1,Liquid,0,Reaction medium condition,PH
10,1,UV,192-280(UV-A),Wavelength condition,NanoM
11,1,UV,0.30,Illuminated area condition,M2
12,2,Slurry,0.10,Reactor condition,L
13,2,Powder(Suspended),0.1,Catalyst set up condition,GM
14,2,Mercury(Hg),8.00,Lamp power condition,W
15,2,Mercury(Hg),8.00,Lamp irradiance condition,W-PER-M2
16,2,,,Temperature condition,DEG_C
17,2,,,Preasure condition,BAR
18,2,,,Space velocity condition,PER-HR
19,2,,24.00,Reaction time condition,HR
20,2,Liquid,0,Reaction medium condition,PH
21,2,UV,192-280(UV-A),Wavelength condition,NanoM
22,2,UV,0.30,Illuminated area condition,M2
23,3,Slurry,0.10,Reactor condition,L
24,3,Powder(Suspended),0.1,Catalyst set up condition,GM
25,3,Mercury(Hg),8.00,Lamp power condition,W
26,3,Mercury(Hg),8.00,Lamp irradiance condition,W-PER-M2
27,3,,,Temperature condition,DEG_C
28,3,,,Preasure condition,BAR
29,3,,,Space velocity condition,PER-HR
30,3,,24.00,Reaction time condition,HR
31,3,Liquid,0,Reaction medium condition,PH
32,3,UV,192-280(UV-A),Wavelength condition,NanoM
33,3,UV,0.30,Illuminated area condition,M2
34,4,Slurry,0.10,Reactor condition,L
35,4,Powder(Suspended),0.1,Catalyst set up condition,GM
36,4,Mercury(Hg),8.00,Lamp power condition,W
37,4,Mercury(Hg),8.00,Lamp irradiance condition,W-PER-M2
38,4,,,Temperature condition,DEG_C
39,4,,,Preasure condition,BAR
40,4,,,Space velocity condition,PER-HR
41,4,,24.00,Reaction time condition,HR
42,4,Liquid,0,Reaction medium condition,PH
43,4,UV,192-280(UV-A),Wavelength condition,NanoM
44,4,UV,0.30,Illuminated area condition,M2
45,5,Slurry,0.10,Reactor condition,L
46,5,Powder(Suspended),0.1,Catalyst set up condition,GM
47,5,Mercury(Hg),8.00,Lamp power condition,W
48,5,Mercury(Hg),8.00,Lamp irradiance condition,W-PER-M2
49,5,,,Temperature condition,DEG_C
50,5,,,Preasure condition,BAR
51,5,,,Space velocity condition,PER-HR
52,5,,24.00,Reaction time condition,HR
53,5,Liquid,0,Reaction medium condition,PH
54,5,UV,192-280(UV-A),Wavelength condition,NanoM
55,5,UV,0.30,Illuminated area condition,M2
56,6,Fixed-bed,0.29,Reactor condition,L
57,6,Film,,Catalyst set up condition,GM
58,6,Fluorescent,64.00,Lamp power condition,W
59,6,Fluorescent,24.00,Lamp irradiance condition,W-PER-M2
60,6,,80.00,Temperature condition,DEG_C
61,6,,1.00,Preasure condition,BAR
62,6,,,Space velocity condition,PER-HR
63,6,,72.00,Reaction time condition,HR
64,6,Gas,,Reaction medium condition,PH
65,6,UV,315-400(UV-C),Wavelength condition,NanoM
66,6,UV,,Illuminated area condition,M2
67,7,Fixed-bed,0.29,Reactor condition,L
68,7,Film,,Catalyst set up condition,GM
69,7,Fluorescent,64.00,Lamp power condition,W
70,7,Fluorescent,24.00,Lamp irradiance condition,W-PER-M2
71,7,,80.00,Temperature condition,DEG_C
72,7,,1.00,Preasure condition,BAR
73,7,,,Space velocity condition,PER-HR
74,7,,384.00,Reaction time condition,HR
75,7,Gas,,Reaction medium condition,PH
76,7,UV,315-400(UV-C),Wavelength condition,NanoM
77,7,UV,,Illuminated area condition,M2
78,8,Fixed-bed,0.13,Reactor condition,L
79,8,Film,,Catalyst set up condition,GM
80,8,Mercury(Hg),,Lamp power condition,W
81,8,Mercury(Hg),9999.99,Lamp irradiance condition,W-PER-M2
82,8,,75.00,Temperature condition,DEG_C
83,8,,1.32,Preasure condition,BAR
84,8,,,Space velocity condition,PER-HR
85,8,,1.00,Reaction time condition,HR
86,8,Gas,,Reaction medium condition,PH
87,8,UV,315-400(UV-C),Wavelength condition,NanoM
88,8,UV,,Illuminated area condition,M2
89,9,Fixed-bed,,Reactor condition,L
90,9,Film,,Catalyst set up condition,GM
91,9,Mercury(Hg),,Lamp power condition,W
92,9,Mercury(Hg),9999.99,Lamp irradiance condition,W-PER-M2
93,9,,75.00,Temperature condition,DEG_C
94,9,,1.29,Preasure condition,BAR
95,9,,,Space velocity condition,PER-HR
96,9,,,Reaction time condition,HR
97,9,Gas,,Reaction medium condition,PH
98,9,UV,315-400(UV-C),Wavelength condition,NanoM
99,9,UV,,Illuminated area condition,M2
100,10,Fixed-bed,,Reactor condition,L
101,10,Film,,Catalyst set up condition,GM
102,10,Mercury(Hg),,Lamp power condition,W
103,10,Mercury(Hg),9999.99,Lamp irradiance condition,W-PER-M2
104,10,,75.00,Temperature condition,DEG_C
105,10,,1.29,Preasure condition,BAR
106,10,,,Space velocity condition,PER-HR
107,10,,,Reaction time condition,HR
108,10,Gas,,Reaction medium condition,PH
109,10,UV,315-400(UV-C),Wavelength condition,NanoM
110,10,UV,,Illuminated area condition,M2
111,11,Fixed-bed,,Reactor condition,L
112,11,Film,,Catalyst set up condition,GM
113,11,Mercury(Hg),,Lamp power condition,W
114,11,Mercury(Hg),9999.99,Lamp irradiance condition,W-PER-M2
115,11,,75.00,Temperature condition,DEG_C
116,11,,1.29,Preasure condition,BAR
117,11,,,Space velocity condition,PER-HR
118,11,,,Reaction time condition,HR
119,11,Gas,,Reaction medium condition,PH
120,11,UV,315-400(UV-C),Wavelength condition,NanoM
121,11,UV,,Illuminated area condition,M2
122,12,Fixed-bed,,Reactor condition,L
123,12,Film,,Catalyst set up condition,GM
124,12,Mercury(Hg),,Lamp power condition,W
125,12,Mercury(Hg),9999.99,Lamp irradiance condition,W-PER-M2
126,12,,75.00,Temperature condition,DEG_C
127,12,,1.29,Preasure condition,BAR
128,12,,,Space velocity condition,PER-HR
129,12,,,Reaction time condition,HR
130,12,Gas,,Reaction medium condition,PH
131,12,UV,315-400(UV-C),Wavelength condition,NanoM
132,12,UV,,Illuminated area condition,M2
133,13,Slurry,,Reactor condition,L
134,13,Powder(Suspended),0.3,Catalyst set up condition,GM
135,13,Mercury(Hg),500.00,Lamp power condition,W
136,13,Mercury(Hg),,Lamp irradiance condition,W-PER-M2
137,13,,62.00,Temperature condition,DEG_C
138,13,,0.25,Preasure condition,BAR
139,13,,,Space velocity condition,PER-HR
140,13,,5.00,Reaction time condition,HR
141,13,Liquid,0,Reaction medium condition,PH
142,13,UV,280-315(UV-B),Wavelength condition,NanoM
143,13,UV,,Illuminated area condition,M2
144,14,Slurry,,Reactor condition,L
145,14,Powder(Suspended),0.3,Catalyst set up condition,GM
146,14,Mercury(Hg),500.00,Lamp power condition,W
147,14,Mercury(Hg),,Lamp irradiance condition,W-PER-M2
148,14,,62.00,Temperature condition,DEG_C
149,14,,0.25,Preasure condition,BAR
150,14,,,Space velocity condition,PER-HR
151,14,,5.00,Reaction time condition,HR
152,14,Liquid,0,Reaction medium condition,PH
153,14,UV,280-315(UV-B),Wavelength condition,NanoM
154,14,UV,,Illuminated area condition,M2
155,15,Slurry,,Reactor condition,L
156,15,Powder(Suspended),0.3,Catalyst set up condition,GM
157,15,Mercury(Hg),500.00,Lamp power condition,W
158,15,Mercury(Hg),,Lamp irradiance condition,W-PER-M2
159,15,,62.00,Temperature condition,DEG_C
160,15,,0.25,Preasure condition,BAR
161,15,,,Space velocity condition,PER-HR
162,15,,5.00,Reaction time condition,HR
163,15,Liquid,0,Reaction medium condition,PH
164,15,UV,280-315(UV-B),Wavelength condition,NanoM
165,15,UV,,Illuminated area condition,M2
166,16,Slurry,,Reactor condition,L
167,16,Powder(Suspended),0.3,Catalyst set up condition,GM
168,16,Mercury(Hg),500.00,Lamp power condition,W
169,16,Mercury(Hg),,Lamp irradiance condition,W-PER-M2
170,16,,62.00,Temperature condition,DEG_C
171,16,,0.25,Preasure condition,BAR
172,16,,,Space velocity condition,PER-HR
173,16,,40.50,Reaction time condition,HR
174,16,Liquid,0,Reaction medium condition,PH
175,16,UV,436,Wavelength condition,NanoM
176,16,UV,,Illuminated area condition,M2
177,17,Slurry,,Reactor condition,L
178,17,Powder(Suspended),0.3,Catalyst set up condition,GM
179,17,Mercury(Hg),500.00,Lamp power condition,W
180,17,Mercury(Hg),,Lamp irradiance condition,W-PER-M2
181,17,,62.00,Temperature condition,DEG_C
182,17,,0.25,Preasure condition,BAR
183,17,,,Space velocity condition,PER-HR
184,17,,40.50,Reaction time condition,HR
185,17,Liquid,0,Reaction medium condition,PH
186,17,UV,436,Wavelength condition,NanoM
187,17,UV,,Illuminated area condition,M2
188,18,Slurry,,Reactor condition,L
189,18,Powder(Suspended),0.3,Catalyst set up condition,GM
190,18,Mercury(Hg),500.00,Lamp power condition,W
191,18,Mercury(Hg),,Lamp irradiance condition,W-PER-M2
192,18,,250.00,Temperature condition,DEG_C
193,18,,0.25,Preasure condition,BAR
194,18,,,Space velocity condition,PER-HR
195,18,,40.50,Reaction time condition,HR
196,18,Liquid,0,Reaction medium condition,PH
197,18,UV,436,Wavelength condition,NanoM
198,18,UV,,Illuminated area condition,M2
199,19,Slurry,,Reactor condition,L
200,19,Powder(Suspended),0.3,Catalyst set up condition,GM
201,19,Mercury(Hg),500.00,Lamp power condition,W
202,19,Mercury(Hg),,Lamp irradiance condition,W-PER-M2
203,19,,250.00,Temperature condition,DEG_C
204,19,,0.25,Preasure condition,BAR
