ID,valid,No_de_Ref,new_ref,filename,DOI,Title,Year,Journal,Pages,Issue,Abstract,Authors,Volume,Corresponding_author,Country,Country_name,journalID
112,1,111,111,10.1021@am200425y,10.1021/am200425y,Photochemical Reduction of CO2 Using TiO2: Effects of Organic Adsorbates on TiO2 and Deposition of Pd onto TiO2,2011,ACS APPLIED MATERIALS & INTERFACES,2594,,n/a,"T. Yui, A. Kan, C. Saitoh, K. Koike, T. Ibusuki ,O. Ishitan",3,ibusuki@jemai.or.jp,"JP,JP,JP,JP,JP,JP","Japan,Japan,Japan,Japan,Japan,Japan",6
147,1,146,146,10.1021@am2008147,10.1021/am2008147,High-yield synthesis of ultrathin and uniform Bi2WO6 square nanoplates benefittin from photocatalytic reduction of CO2 into renewable hydrocarbon fuel under visible light,2011,ACS APPLIED MATERIALS & INTERFACES,3594,,"Ultrathin and uniform Bi2WO6 square nanoplates of &sim;9.5 nm thickness corresponding to six repeating cell units were prepared in the presence of oleylamine using a hydrothermal route. The Bi2WO6 nanoplates show great potential in the utilization of visible light energy to the highly efficient reduction of CO2 into a renewable hydrocarbon fuel. On the one hand, the ultrathin geometry of the nanoplates promotes charge carriers to move rapidly from the interior to the surface to participate in the photoreduction reaction. This should also favor the improved separation of photogenerated electron and hole and a lower electron&ndash;hole recombination rate; on the other hand, the Bi2WO6 square nanoplate is proven to provide the well-defined {001} facet for two dominantly exposed surfaces, which is a prerequisite for the high level of photocatalytic activity of CO2 fixation.","Y. Zhou, Z. Tian, Z. Zhao, Q. Lie, J. Kou, X. Chen, J. Gao, S. Yan ,Z. Zou",3,zhouyon1999@nju.edu.cn,"CN,CN,CN,CN,CN,CN,CN,CN,CN","China,China,China,China,China,China,China,China,China",6
194,1,193,193,High-active_anatase_TiO2_nanosheets_exposed_with_95%_{100}_facets_toward_efficient_H2_evolution_and_CO2_photoreduction,10.1021/am302631b,High-active anatase TiO2 nanosheets exposed with 95 % {100} facets toward efficient H2 evolution and CO2 photoreduction,2013,ACS APPLIED MATERIALS & INTERFACES,1348,4,"We succeed in preparation of anatase TiO2 single crystals with marked photocatalytic activity via a facile and effective method. This TiO 2 is composed of TiO2 ultrathin nanosheets (2 nm in thickness) with 95% of exposed {100} facet, which is considered to be the active facet for photocatalytic reaction. This percentage (95%) is the highest among previously reported {100} facet exposed anatase TiO2. More importantly, due to this high ratio, our developed TiO2 nanosheets showed marked photocatalytic activity, about 5 times higher activity in both H2 evolution and CO2 reduction than the reference sample, TiO2 cuboids with 53% of exposed {100} facet. For the TiO2 nanosheets, both the higher percentage of exposed {100} facets and larger surface area can offer more surface active sites in the photocatalytic reaction. On the other hand, the superior electronic band structure which results from the higher percentage of {100} facet is also beneficial for the higher activity. This study exemplifies that the facet engineering of semiconductors is one of the most effective strategies to achieve advanced properties over photofunctional materials for solar energy conversion.","H. Xu, S. Ouyang, P. Li, T. Kako , J. Ye",5,OUYANG.Shuxin@nims.go.jp,"JP,JP,JP,JP,CN","Japan,Japan,Japan,Japan,China",6
98,1,98,98,10.1021@cs2001434,10.1021/cs2001434,Photocatalytic conversion of CO2 to hydrocarbon fuels via plasmon-enhanced absorption and metallic interband transitions,2011,ACS CATALYSIS,929,,"A systematic study of the mechanisms of Au nanoparticle/TiO2-catalyzed photoreduction of CO2 and water vapor is carried out over a wide range of wavelengths. When the photon energy matches the plasmon resonance of the Au nanoparticles (free carrier absorption), which is in the visible range (532 nm), we observe a 24-fold enhancement in the photocatalytic activity because of the intense local electromagnetic fields created by the surface plasmons of the Au nanoparticles. These intense electromagnetic fields enhance sub-bandgap absorption in the TiO2, thereby enhancing the photocatalytic activity in the visible range. When the photon energy is high enough to excite d band electronic transitions in the Au, in the UV range (254 nm), a different mechanism occurs resulting in the production of additional reaction products, including C2H6, CH3OH, and HCHO. This occurs because the energy of the d band excited electrons lies above the redox potentials of the additional reaction products CO2/C2H6, CO2/CH3OH, and CO2/HCHO. We model the plasmon excitation at the Au nanoparticle-TiO2 interface using finite difference time domain (FDTD) simulations, which provides a rigorous analysis of the electric fields and charge at the Au nanoparticle-TiO2 interface.","W. Hou, W.H. Hung, P. Pavaskar, A. Goeppert, M. Aykol , S.B. Cronin",1,scronin@usc.edu,"US,US,US,US,US,US","USA,USA,USA,USA,USA,USA",7
102,1,102,102,10.1021@cs300273q,10.1021/cs300273q,"Photocatalytic CO2 reduction with H2O on TiO2 nanocrystals: comparison of anatase, rutile, and brookite polymoprhs and exploration of surface chemistry",2012,ACS CATALYSIS,1817,,"CO2 photoreduction with water vapor has been studied on three TiO2 nanocrystal polymorphs (anatase, rutile, and brookite) that were engineered with defect-free and oxygen-deficient surfaces, respectively. It was demonstrated that helium pretreatment of the as-prepared TiO2 at a moderate temperature resulted in the creation of surface oxygen vacancies (VO) and Ti3+ sites on anatase and brookite but not on rutile. The production of CO and CH4 from CO2 photoreduction was remarkably enhanced on defective anatase and brookite TiO2 (up to 10-fold enhancement) as compared to the defect-free surfaces. Defective brookite was photocatalytically more active than anatase and rutile, probably because of a lower formation energy of VO on brookite. The results from in situ diffuse reflectance infrared Fourier transform spectroscopy (DRIFTS) analyses suggested that (1) defect-free TiO2 was not active for CO2 photoreduction since no CO2&ndash; is generated, and (2) CO2 photoreduction to CO possibly underwent different reaction pathways on oxygen-deficient anatase and brookite via different intermediates (e.g., CO2&ndash; on anatase; CO2&ndash; and HCOOH on brookite). The combined DRIFTS and photoactivity studies reported in this paper have provided new insights to the role of surface defects in CO2 photoreduction on TiO2 nanocrystals, and revealed significant information on the much less studied but promising brookite phase.","L. Liu, H. Zhao, J.M. Andino ,Y. Li",2,liying@uwm.edu,"US,US,US,US","USA,USA,USA,USA",7
66,1,66,66,10.1002@anie.200805534,10.1002/anie.200805534,Nanostructured cobalt oxide clusters in mesoporous silica as efficient oxygen-evolving catalysts,2009,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,1841,,"Light, inexpensive, effective: Nanostructured Co(3)O(4) clusters (see picture) in mesoporous silica are the first example of a nanometer-sized multielectron catalyst made of a first-row transition-metal oxide that evolves oxygen from water efficiently. The nanorod bundle structure of the catalyst results in a very large surface area, an important factor contributing to the high turnover frequency.","F. Jiao, H. Frei",48,HMFrei@lbl.gov,"US,US","USA,USA",88
145,1,144,144,10.1002@anie.201003270,10.1002/anie.201003270,A room-temperature reactive-template route to mesoporous ZnGa2O4 with improved photocatalytic activity in reduction of CO2,2010,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,6400,,"Multimetal mesoporous materials MGa2O4 (M=Zn, Ni, Co) can be synthesized by ion-exchange reactions of colloidal mesoporous NaGaO2 (see scheme with TEM images), which acts as both template and precursor, so that a template-removal process can be dispensed with.","S.C. Yan, S.X. Ouyang, J. Gao, M. Yang, J. Feng, X. Fan, L.J. Wan, Z.S. Li, J.H. Ye, Y. Zhou ,Z.G. Zou",49,zgzou@nju.edu.cn,"CN,CN,CN,CN,CN,CN,CN,CN,CN,CN,CN","China,China,China,China,China,China,China,China,China,China,China",88
3,1,3,3,1-s2.0-S0926860X05006125-main,10.1016/j.apcata.2005.08.021,Photo reduction of CO2 to methanol using optical-fiber photo,2005,APPLIED CATALYSIS A-GENERAL,194,,"Greenhouse gases such as CO2 are the primary cause of global warming. One of the best routes to remedy CO2 is to transform it to hydrocarbons using photo reduction. CO2 was photocatalytically reduced to produce methanol using a Hg lamp with wavelength 365 nm in a steady-state optical-fiber photoreactor. The optical-fiber photoreactor, comprised of nearly 120 Cu\/TiO2-coated fibers, was designed and assembled to transmit and spread light uniformly inside the reactor. TiO2 film was coated on optical fiber using a dip-coating method. Cu-loaded titania solutions were prepared by a thermal hydrolysis method. The thickness of Cu\/TiO2 film was 53 nm. The coating film consisted of very fine spherical particles with diameters of near 14 nm. The XRD spectra indicated the anatase phase for all TiO2 and Cu\/TiO2 films. The wavelength of absorption edge on Cu\/TiO2 was near 367 nm, equivalent to a bandgap of 3.3 eV. The most active Cu species on TiO2 surface were Cu2O clusters, and they played an important role for the formation of methanol. The methanol yield increased with UV irradiative intensity. Maximum methanol rate was 0.45 μmole\/g cat h using 1.2 wt.%-Cu\/TiO2 catalyst at 1.29 bar of CO2, 0.026 bar of H2O, and 5000 s mean residence time under 16 W\/cm2 UV irradiation. Higher than 1.2 wt.% Cu loading gave a lower rate of methanol yield because of the masking effect of Cu2O clusters on the TiO2 surface. The Langmuir–Hinshelwood model was established by correlating experimental data to describe the kinetic behavior. An optimum pressure ratio of H2O\/CO2 was found in the photo reduction of CO2 for maximum methanol yield.","J.C.S. Wu, H-M. Lin ,C-L. Lai",269,cswu@ntu.edu.tw,"TW,TW,TW","Taiwan,Taiwan,Taiwan",98
40,1,40,40,10.1016@j.apcata.2010.03.059,10.1016/j.apcata.2010.03.059,CO2 photoreduction using NiO/InTaO4 in optical-fiber for renewable energy,2010,APPLIED CATALYSIS A-GENERAL,172,,"The photocatalytic reduction of CO2 into fuels provides a direct route to produce renewable energy from sunlight. NiO loaded InTaO4 photocatalyst was prepared by a solu2013gel method. Aqueous-phase CO2 photoreduction was performed in a quartz reactor to search for the highest photoactivity in a series of NiO/InTaO4 photocatalysts. Thereafter, the best NiO/InTaO4 was dip coated on optical fibers and calcined at 1100u00b0C. A uniform NiO/InTaO4 layer of 0.14u03bcm in thickness was observed on the optical fiber. An optical-fiber photoreactor, comprised of u223c216 NiO/InTaO4-coated fibers, was designed to transmit and spread light uniformly inside the reactor. The UVu2013vis spectra of powder InTaO4 as well as NiO loaded InTaO4 prepared via the same procedure indicated that both photocatalysts could absorb visible light. XRD confirmed that InTaO4 was in single phase. Vapor-phase CO2 was photocatalytically reduced to methanol using the optical-fiber reactor under visible light and real sunlight irradiation in a steady-state flow system. The rate of methanol production was 11.1u03bcmol/gh with light intensity of 327mW/cm2 at 25u00b0C. Increasing the reaction temperature to 75u00b0C increased the production rate to 21.0u03bcmol/gh. Methanol production rate was 11.30u03bcmol/gh by utilizing concentrated sunlight which was comparable to the result of using artificial visible light. The quantum efficiencies were estimated to be 0.0045% and 0.063% in aqueous-phase and optical-fiber reactors, respectively, per gram NiO/InTaO4 photocatalyst. The quantum efficiency increased due to the superior light-energy utilization of NiO/InTaO4 thin film in the optical-fiber reactor.","Z-Y. Wang, H-C. Chou, J.C.S. Wu, D.P. Tsai ,G. Mul",380,cswu@ntu.edu.tw,"TW,TW,TW,TW,NL","Taiwan,Taiwan,Taiwan,Taiwan,Netherlands",98
52,1,52,52,10.1016@S0926-860X(03)00205-9,10.1016/S0926-860X(03)00205-9,Photoreduction of carbon dioxide with water over K2Ti6O13 photocatalyst combined with Cu/ZnO catalyst under concentrated sunlight,2003,APPLIED CATALYSIS A-GENERAL,11,,"Photoreduction of CO2 with water into valuable organic compounds under concentrated sunlight as well as Xe- or Hg-lamp irradiation was investigated using a Pt-loaded potassium hexatitanate (K2Ti6O13) photocatalyst or a composite catalyst in which the Pt-K2Ti6O13 photocatalyst was combined with a CO2 hydrogenation catalyst of Cu/ZnO. When the Pt-K2Ti6O13 photocatalyst was used under Xe- or Hg-lamp irradiation, H2, CH4, HCHO and HCOOH were formed. On the other hand, when the composite catalyst was used under concentrated sunlight, CH3OH was successfully formed in addition to the above products. For the composite catalyst, H2 resulting from the water decomposition over the photocatalyst serves as the reducing agent for the CO2 hydrogenation over the Cu/ZnO catalyst. The reaction temperature in this study exceeded 580 K due to concentrating the sunlight. Such a high reaction temperature is sufficient for the Cu/ZnO catalyst to reduce CO2 with H2 into CH3OH. It should also be noted that product yields for the photocatalysts were much improved under concentrated sunlight. This study revealed that a simultaneous supply of photons and thermal energy could improve the activity of photocatalysts.","G. Guan, T. Kida, T. Harada, M. Isayama ,A. Yoshida",249,guoqing-guan@aist.go.jp,"JP,JP,JP,JP,JP","Japan,Japan,Japan,Japan,Japan",98
