ID,Chemical
1,TiO2
2,Ag
3,H2O
4,Cu
5,ZrO2
6,CH4
7,HCOOH
8,H2
9,Pt
10,CuO
11,H2+H2O
12,Fe
13,SiO2
14,N3
15,CODH-Enzime
16,Activated Carbon
17,Carbon Nanotube
18,Carbon
19,Au
20,H2O. Saturated with CO2
21,Kaolinite
22,saturated
23,CoPc
24,CdSe
25,BrAsp
26,Rh
27,Ni
28,Ru
29,ZnPc
30,NaOH
31,saturated solution from CO2 photoreduction
32,saturated H2O + NaOH
33,SBA-15
34,b-Ga2O3
35,Zn2GeO4
36,InTaO4
37,H2O + NaOH
38,NiO
39,Ti-MCM-41
40,D2O
41,N
42,NaNbO3
43,Ti-MCM-48
44,TS-1
45,Ti-b Zeolite
46,BiVO4
47,ZnS
48,K2Ti6O13
49,Y-zeolite
50,ZnO
51,H2O/H2
52,Pt-Cu
53,Al2O3
54,Ga2O3
55,CaO
56,MgO
57,Ti-SBA-15
58,KTaO3
59,LiTaO3
60,NaTaO3
61,Cu2O
62,SiC
63,deionized H2O
64,Ni@NiO
65,ZnCuAl(OH)
66,ZnCuGa(OH)
67,CO2 saturated
68,Li
69,Pd
70,H2O (deionized)
71,2-propanol
72,CCl4 
73,Nafion
74,CO2 saturated acetonitrile containing LiNO3 and 2-propanol
75,(H2O) 3 + isopropanol
76,H2O + 1 M 2-propanol
77,2-propanol 0.5M
78,H2O + NaHCO3 + isopropanol
79,Cr
80,RuO2
81,BrGly
82,H2O+NaHCO3
83,H2O+NaHCO9
84,H2O+NaHCO4
85,H2O+NaHCO8
86,FeTiO3
87,H2O+NaHCO6
88,H2O+NaHCO10
89,H2O+NaHCO7
90,H2O+NaHCO12
91,H2O+NaHCO5
92,H2O+NaHCO11
93,CdS
94,Bi3S2
95,H2O vapor
96,H2O+AgNO3 0.5mM
97,Graphene
98,Graphene Oxide
99,AgBr
100,KHCO3
101,NaOH+Na2SO6
102,NaOH+Na2SO3
103,NaOH+Na2SO4
104,NaOH+Na2SO5
105,1 M KHCO3
106,PbS
107,ZSM-5
108,I
109,"H2O,V/V%= 2.3"
110,H2O + 0.08M NaHCO3
111,Montmorillonite
112,CeO2
113,Bi2S3
114,H2O+NaOH+sodium sulfite
115,HNb3O8
116,KNb3O8
117,2-naphtol or p-cresol
118,water+methanol
119,CuAlGaO4
120,Bi2WO6
121,Ta2O5
122,[Ru(dpbpy)(bpy)(CO)2]
123,dehydrated acetonitrile
124,AgCl
125,Pt + MgO
126,BaO
127,La2O3
128,Lu2O3
129,SrO
130,Zn1.7GeN1.8O
131,RuO2-Pt
132,Zn1.10GeN1.92O0.53
133,Zn0.91GeN1.87O0.36
134,Pt-RuO2
135,ZnGaNO
136,ZnAl2O4
137,Zn2GaO4
138,DMF solution
139,HCHO+H2
140,distilled H2O
141,H2O+ 2.5-DHF
142,H2O+ Na2SO3
143,H2O+ 2-propanol
144,SiO2|O(CH2)NH2
145,Ag0.09In0.21Zn1.61S2
146,NaNO2
147,Cu0.23Ag0.21In0.19Zn1.5S2
148,Cu0.30Ag0.07In0.34Zn1.31S2
149,Cu0.12Ag0.30In0.38Zn1.22S2
150,Cu0.45Ag0.13In0.24Zn1.35S2
151,Cu0.37Ag0.15In0.80Zn0.54S2
152,Cu0.05Ag0.20In0.06Zn1.78S2
153,Cu0.48Ag0.34In0.36Zn1.05S2
154,Cu0.12Ag0.13In0.57Zn1.02S2
155,Rh1.32Cr0.66O3
156,H2O + KHCO3
157,BaLa4Ti4O15
158,CaLa4Ti4O15
159,SrLa4Ti4O15
160,InNbO4
161,KHCO3 
162,Co3O4
163,Zn1.5Cu1.5Ga(OH)8]+2(CO3)
164,Zn1.5Cu1.5Ga(OH)8]+2[Cu(OH)4]2−
165,Cd
166,NaHCO3
167,Zn
168,H2O + 2-propanol
169,H2O + methanol
170,H2O + ethanol
171,CH4 + He
172,MES
173,H2O + Na2SO3
174,RuOx
175,Cu-ZIF
176,Na2SO3
177,Graphene oxide
178,WO3
179,In(OH)3
180,Ti-KIT-6
181,Ti
182,Ti-Kit-6
183,HCl
184,CH3OH
185,NiS
186,Si
187,H2O + Na2CO3
188,[Zn2Cr(OH)2]2CO3
189,Ru(bpy)
190,MeCN/TEOA
191,Zn2SnO4
192,Bi6Mo2O15
193,na
194,LiNbO3
195,"NaOH 0,2 M"
196,Methanol
197,g-C3N4
198,Acetonitrile/triethanolamine
199,ZIF-8
200,Pt-ZIF-8
201,In
202,Zr-UiO-66-NH2
203,MeCN TEOA
204,[Zn2Cr1(OH)2]2CO3
205,NaOH 1 M
206,ZnGa2O4
207,AuCu
208,"KHCO3 0,1 M"
209,Acetonitrile and triethanolamine (4:1 vv)
210,AgIO3
211,H2ODMF
212,Aqueous solution of AgNO3
213,LDH
214,Mg-Al
215,Ni-Al
216,Zn-Al
217,Mg-In
218,Ni-In
219,Ti-MCM-41 
220,MEA
221,Isopropanol
222,H2Pc
223,CuPc
224,O
225,Ce
226,"KHCO3 0,2 M"
227,NaHCO3 + HCl 4 M
228,NaOH 2 M
229,Ethanol
230,NaBiO3
231,"NaHCO3 0,08 M"
232,"NaHCO3 0,1 M"
233,In2O3
234,Cyclohexanol
235,Polyethylene glycol
236,MB
237,Na2V6O16
238,BiNbO4
239,Isopropanol + H2PtCl6
240,BiTaO4
241,CdIn2S4
242,CeF3
243,"NaHCO3 0,08 M and HCl 0,08 M"
244,Tourmaline
245,AgCu
246,"NaOH 0,1 M"
247,"NaOH 0,3 M"
248,"NaOH 0,4 M"
249,BiOI
250,V-N
251,CoTe
252,Cu@Au
253,Au@Cu
254,"[emim][BF4], TEOA, H2O, Cocl2 and bpy"
255,Co(bpy)
256,bpy
257,"NaOH 0,2 M and Na2SO4"
258,SrTiO3
259,ZnTe
260,Fe2O3
261,CoO
262,Y-Zeolite
263,Graphite
264,CuS
265,S
266,CaTiO3
267,CaTaO2N
268,Triethanolamine in DMA
269,LaPO4
270,"MEA 0,2 M"
271,Mo
272,SiO2@Fe3O4
273,Triethylamine
274,Co-PcS
275,ZnFe2O4
276,BaZrO3
277,SrNb2O6
278,RuH
279,MeCN
280,RuCP
281,RuP
282,DMA
283,MeOH
284,ZnCo2O4
285,Co
286,Aromatic nitro compounds
287,Ag3PO4
288,Nb3O8
289,"KHCO3 0,5 M"
