ID,Material_transformation_id,Chemical,Quantity,Unit,QUDT_unit
1,1,H2,3.7500,gh,MicroMOL-PER-GM-HR
2,1,CO,0.0100,gh,MicroMOL-PER-GM-HR
3,1,CH4,0.1333,gh,MicroMOL-PER-GM-HR
4,1,CH3OH,0.0333,gh,MicroMOL-PER-GM-HR
5,1,H2,90.0000,g,MicroMOL-PER-GM
6,1,CO,0.2400,g,MicroMOL-PER-GM
7,1,CH4,3.2000,g,MicroMOL-PER-GM
8,1,CH3OH,0.8000,g,MicroMOL-PER-GM
9,1,H2,1.2500,m2h,MicroMOL-PER-M2-HR
10,1,CO,0.0033,m2h,MicroMOL-PER-M2-HR
11,1,CH4,0.0444,m2h,MicroMOL-PER-M2-HR
12,1,CH3OH,0.0111,m2h,MicroMOL-PER-M2-HR
13,2,H2,4.7917,gh,MicroMOL-PER-GM-HR
14,2,CO,0.0458,gh,MicroMOL-PER-GM-HR
15,2,CH4,0.2125,gh,MicroMOL-PER-GM-HR
16,2,CH3OH,0.0375,gh,MicroMOL-PER-GM-HR
17,2,H2,115.0000,g,MicroMOL-PER-GM
18,2,CO,1.1000,g,MicroMOL-PER-GM
19,2,CH4,5.1000,g,MicroMOL-PER-GM
20,2,CH3OH,0.9000,g,MicroMOL-PER-GM
21,2,H2,1.5972,m2h,MicroMOL-PER-M2-HR
22,2,CO,0.0153,m2h,MicroMOL-PER-M2-HR
23,2,CH4,0.0708,m2h,MicroMOL-PER-M2-HR
24,2,CH3OH,0.0125,m2h,MicroMOL-PER-M2-HR
25,3,H2,4.1667,gh,MicroMOL-PER-GM-HR
26,3,CO,0.0333,gh,MicroMOL-PER-GM-HR
27,3,CH4,0.1708,gh,MicroMOL-PER-GM-HR
28,3,CH3OH,0.0375,gh,MicroMOL-PER-GM-HR
29,3,H2,100.0000,g,MicroMOL-PER-GM
30,3,CO,0.8000,g,MicroMOL-PER-GM
31,3,CH4,4.1000,g,MicroMOL-PER-GM
32,3,CH3OH,0.9000,g,MicroMOL-PER-GM
33,3,H2,1.3889,m2h,MicroMOL-PER-M2-HR
34,3,CO,0.0111,m2h,MicroMOL-PER-M2-HR
35,3,CH4,0.0569,m2h,MicroMOL-PER-M2-HR
36,3,CH3OH,0.0125,m2h,MicroMOL-PER-M2-HR
37,4,H2,5.2083,gh,MicroMOL-PER-GM-HR
38,4,CO,0.0358,gh,MicroMOL-PER-GM-HR
39,4,CH4,0.2333,gh,MicroMOL-PER-GM-HR
40,4,CH3OH,0.0504,gh,MicroMOL-PER-GM-HR
41,4,H2,125.0000,g,MicroMOL-PER-GM
42,4,CO,0.8600,g,MicroMOL-PER-GM
