Identificador,Hechos,Respuesta,"Estado (Propuesta, Aceptada, Rechazada)",Comentarios,Referencias
H1,"Los artículos tienen la siguiente información: título, año, journal, issue, resumen, volumen, el correo del autor correspondiente, los autores.",,P,,
H2,Cada artículo puede tener uno o mas experimentos.,,P,,
H3,"Un experimento debe tener un catalizador. Además pueden tener uno o más co-catalizadores, un support, un dopante y/o un colorante. ",,P,,
H4,"Un experimento debe medirse sobre un área de superficie, usando el Brunauer Emmet Teller (BET); y tener un bandgap en Eg (eV).",,P,,
H5,Un experimento debe tener unas condiciones de operación. ,,P,,
H6,"Las condiciones deben tener información sobre el medio de reacción, modo de operación, tipo de reactor, volumen del reactor, tipo de catalizador, masa del catalizador (g), temperatura (ºC), presión (bar), tiempo de reacción (h), agente reductor, fuente de luz, lampara utilizada y potencia de la lampara (W). Además pueden tener información sobre el área iluminada (m²) y la irradiancia (W/m²).",,P,,
H7,Los catalizadores del tipo TiO2 deben tener estructura de cristal.,,P,,
H8,El medio de reacción de las operaciones debe ser gas o líquido.,,P,,
H9,Cuando el medio de reacción de un experimento es líquido debe tener un pH.,,P,,
H10,Los modos de operación de un experimento pueden ser continuos o en batch.,,P,,
H11,Cuando el modo de operación de un experimento es en continuo debe tener una velocidad espacial (h-1).,,P,,
H12,Un experimento da como resultado uno o varios productos.,,P,,
H13,Un producto debe tener un nombre y una o mas unidades de medición.,,P,,
H14,"Las unidades de medición de un producto son: µmol/g, µmol/gh, µmol/m²h.",,P,,
H15,Cuando la fuente de luz no es solar o simulación solar las condiciones deben incluir la longitud de onda (nm),,P,,
H16,"Un experimento debe incluir una medida de eficiencia (%). La eficiencia puede expresarse como photonic efficiency/yield, quantum yield, apparent quantum yield.",,P,,
H17,,,,,
H18,,,,,
H19,,,,,
H20,,,,,
H21,,,,,
H22,,,,,
H23,,,,,
H24,,,,,
H25,,,,,
H26,,,,,
H27,,,,,
H28,,,,,
H29,,,,,
H30,,,,,
H31,,,,,
H32,,,,,
